,Factor_1,Factor_2,Factor_3
Schwartz_Power_mean_z_scored,0.6096255497992076,-0.22218748691875478,0.054619263086963375
Schwartz_Achievement_mean_z_scored,0.4363277293010702,-0.052182106405843295,0.005364297161628541
Schwartz_Hedonism_mean_z_scored,0.2579356587831375,0.11211458216780236,-0.6151628912609063
Schwartz_Stimulation_mean_z_scored,0.08680372846702974,-0.1371615105215409,-0.5545124880557444
Schwartz_Self_direction_mean_z_scored,-0.6200528935116416,0.1927046275378994,-0.22355956676469163
Schwartz_Universalism_mean_z_scored,-0.7442384700177171,0.1784343425099484,-0.10857172788814326
Schwartz_Benevolence_mean_z_scored,-0.6213348862343853,0.16063254354719309,0.10016968159851639
Schwartz_Tradition_mean_z_scored,0.11394240538203648,-0.22634134411220375,0.7221022711895594
Schwartz_Conformity_mean_z_scored,0.1608759642974046,-0.01593386553128034,0.6864815338381278
Schwartz_Security_mean_z_scored,0.050116499638718066,0.0020443632265430525,0.05358830043626307
MFQ_Harm_mean_z_scored,-0.3498220606208321,0.5251502835946145,0.2413639482008101
MFQ_Fairness_mean_z_scored,-0.07641297237857665,0.6565629981974208,-0.17142144417858574
MFQ_Ingroup_mean_z_scored,0.4668445307474687,0.21863126844193997,0.4431443939244448
MFQ_Authority_mean_z_scored,0.663428238257631,0.3072760614310085,0.392110358246289
MFQ_Purity_mean_z_scored,0.2642587180002782,0.235525618201516,0.33373343591210736
IRI_EC_mean_z_scored,-0.15173872451380271,0.6224422514727014,0.03699668177912914
IRI_F_mean_z_scored,0.2749263541264807,0.4518361313940982,-0.2165051175653088
IRI_PD_mean_z_scored,0.3326317215895195,0.09251265130161625,-0.17082301072044587
IRI_PT_mean_z_scored,-0.02714168599105867,0.5754938614966606,0.002839805917094167
Mini_IPIP_mean_z_scored,-0.0899743166130965,0.540654338905048,-0.02922146516752054
AI_literacy_score_mean_z_scored,-0.03732629211520332,0.3797444647459877,0.16004908394362272
