Topic,Count,Name,Representation,Representative_Docs
-1,22985,-1_protect_promote_rights_respect,"['protect', 'promote', 'rights', 'respect', 'environment', 'wellbeing', 'maintain', 'uphold', 'fair', 'employees']","[""Duty to protect employees' rights"", 'Duty to protect others', 'Duty to protect others']"
0,53839,0_privacy_privacy privacy_privacy privacy privacy_privacy respect,"['privacy', 'privacy privacy', 'privacy privacy privacy', 'privacy respect', 'privacy respect privacy', 'respect privacy', 'privacy privacy respect', 'privacy privacy privacy privacy', 'privacy privacy respect privacy', 'respect privacy privacy']","['Privacy', 'Right to privacy', 'Right to privacy']"
1,32436,1_freedom_speech_freedom speech_speech freedom,"['freedom', 'speech', 'freedom speech', 'speech freedom', 'speech freedom speech', 'freedom speech freedom', 'freedom speech freedom speech', 'speech freedom speech freedom', 'speech freedom speech freedom speech', 'freedom speech freedom speech freedom']","['Freedom of speech', 'Freedom of speech', 'Freedom of speech']"
2,32190,2_public_protect_promote_law,"['public', 'protect', 'promote', 'law', 'public safety', 'protect public', 'uphold', 'public health', 'promote public', 'environment']","['Duty to protect public safety', 'Duty to protect public safety', 'Duty to protect public safety']"
3,26109,3_provide accurate_provide_provide accurate information_accurate,"['provide accurate', 'provide', 'provide accurate information', 'accurate', 'accurate information', 'information provide', 'accurate information provide', 'provide accurate information provide', 'information provide accurate', 'accurate information provide accurate']","['Duty to provide accurate information', 'Duty to provide accurate information', 'Duty to provide accurate information']"
4,22275,4_fairness_fairness fairness_fairness fairness fairness_truthful,"['fairness', 'fairness fairness', 'fairness fairness fairness', 'truthful', 'promote fairness', 'fairness fairness fairness fairness', 'fairness promote', 'fairness promote fairness', 'promote fairness fairness', 'honest']","['Fairness', 'Fairness', 'Fairness']"
5,21611,5_information_information information_access_access information,"['information', 'information information', 'access', 'access information', 'information access', 'information information information', 'information access information', 'information accurate', 'information accurate information', 'information information information information']","['Right to access information', 'Right to access information', 'Right to access information']"
6,15957,6_autonomy_autonomy autonomy_autonomy autonomy autonomy_autonomy autonomy autonomy autonomy,"['autonomy', 'autonomy autonomy', 'autonomy autonomy autonomy', 'autonomy autonomy autonomy autonomy', 'autonomy autonomy autonomy autonomy autonomy', 'autonomy respect', 'bodily', 'autonomy bodily', 'autonomy autonomy respect', 'respect autonomy']","['Autonomy', 'Autonomy', 'Autonomy']"
7,11540,7_wellbeing_emotional wellbeing_emotional_wellbeing wellbeing,"['wellbeing', 'emotional wellbeing', 'emotional', 'wellbeing wellbeing', 'wellbeing emotional wellbeing', 'wellbeing emotional', 'wellbeing health', 'health wellbeing', 'wellbeing health wellbeing', 'emotional wellbeing emotional wellbeing']","['Emotional well-being', 'Emotional well-being', 'Emotional well-being']"
8,11254,8_respect_respect respect_respect opinions_opinions,"['respect', 'respect respect', 'respect opinions', 'opinions', 'opinions respect', 'respect opinions respect', 'beliefs', 'beliefs respect', 'respect cultural', 'respect respect respect']","['Duty to respect cultural norms', 'Duty to respect cultural norms', 'Duty to respect cultural norms']"
9,10136,9_fair_equal_treatment_equal opportunity,"['fair', 'equal', 'treatment', 'equal opportunity', 'opportunity', 'equal treatment', 'evaluation', 'fair evaluation', 'equal opportunity equal', 'opportunity equal']","['Right to equal opportunity', 'Right to equal opportunity', 'Right to equal opportunity']"
10,9724,10_honesty_honesty honesty_honesty honesty honesty_honesty honesty honesty honesty,"['honesty', 'honesty honesty', 'honesty honesty honesty', 'honesty honesty honesty honesty', 'honesty honesty honesty honesty honesty', 'compassion', 'empathy', 'truth', 'truthfulness', 'empathy honesty']","['Honesty', 'Honesty', 'Honesty']"
11,6169,11_security_security security_security security security_security security security security,"['security', 'security security', 'security security security', 'security security security security', 'security security security security security', 'financial security', 'security financial', 'security financial security', 'financial', 'financial security financial']","['Security', 'Security', 'Security']"
12,6155,12_diversity_cultural diversity_cultural_diversity respect,"['diversity', 'cultural diversity', 'cultural', 'diversity respect', 'respect cultural diversity', 'diversity respect cultural', 'diversity respect cultural diversity', 'diversity cultural', 'cultural diversity respect', 'cultural diversity respect cultural']","['Duty to respect cultural diversity', 'Duty to respect cultural diversity', 'Duty to respect cultural diversity']"
13,5781,13_education education_education_education education education_education education education education,"['education education', 'education', 'education education education', 'education education education education', 'education education education education education', 'convenience', 'education convenience', 'convenience education', 'convenience education education', 'access education']","['Right to education', 'Right to education', 'Right to education']"
14,5536,14_equality equality equality equality equality_equality equality equality equality_equality equality equality_equality equality,"['equality equality equality equality equality', 'equality equality equality equality', 'equality equality equality', 'equality equality', 'equality', '', '', '', '', '']","['Equality', 'Equality', 'Equality']"
15,5060,15_trust_trust trust_trust trust trust_trust trust trust trust,"['trust', 'trust trust', 'trust trust trust', 'trust trust trust trust', 'trust trust trust trust trust', 'loyalty', 'loyalty loyalty', 'loyalty loyalty loyalty', 'loyalty loyalty loyalty loyalty', 'trust loyalty']","['Trust', 'Trust', 'Trust']"
16,4678,16_safety safety_safety safety safety_safety safety safety safety_safety,"['safety safety', 'safety safety safety', 'safety safety safety safety', 'safety', 'safety safety safety safety safety', 'selfdefense', 'selfdefense selfdefense', 'safety selfdefense', 'selfdefense safety', 'selfdefense selfdefense selfdefense']","['Right to safety', 'Safety', 'Safety']"
17,4479,17_professionalism professionalism_professionalism professionalism professionalism_professionalism_professionalism professionalism professionalism professionalism,"['professionalism professionalism', 'professionalism professionalism professionalism', 'professionalism', 'professionalism professionalism professionalism professionalism', 'professionalism professionalism professionalism professionalism professionalism', '', '', '', '', '']","['Professionalism', 'Professionalism', 'Professionalism']"
18,3863,18_environment_environment safe_safe_environment safe environment,"['environment', 'environment safe', 'safe', 'environment safe environment', 'safe environment', 'safe environment safe', 'environment safe environment safe', 'healthy', 'healthy environment', 'environment healthy']","['Right to a safe environment', 'Right to a safe environment', 'Right to a safe environment']"
19,3083,19_academic_academic integrity_integrity_uphold academic,"['academic', 'academic integrity', 'integrity', 'uphold academic', 'uphold', 'standards', 'academic integrity uphold', 'integrity uphold', 'integrity uphold academic', 'academic integrity uphold academic']","['Duty to uphold academic integrity', 'Duty to uphold academic integrity', 'Duty to uphold academic integrity']"
20,3074,20_progress_progress scientific_progress scientific progress_scientific progress,"['progress', 'progress scientific', 'progress scientific progress', 'scientific progress', 'scientific progress scientific', 'scientific progress scientific progress', 'progress scientific progress scientific', 'progress scientific progress scientific progress', 'scientific', 'scientific progress scientific progress scientific']","['Scientific progress', 'Scientific progress', 'Scientific progress']"
21,3064,21_efficiency_efficiency efficiency_efficiency efficiency efficiency_efficiency efficiency efficiency efficiency,"['efficiency', 'efficiency efficiency', 'efficiency efficiency efficiency', 'efficiency efficiency efficiency efficiency', 'efficiency efficiency efficiency efficiency efficiency', 'productivity', 'productivity productivity', 'efficiency productivity', 'productivity productivity productivity', 'economic efficiency']","['Efficiency', 'Efficiency', 'Efficiency']"
22,2731,22_growth_growth personal growth_growth personal_personal growth,"['growth', 'growth personal growth', 'growth personal', 'personal growth', 'personal growth personal', 'personal growth personal growth', 'growth personal growth personal', 'growth personal growth personal growth', 'personal growth personal growth personal', 'personal']","['Personal growth', 'Personal growth', 'Personal growth']"
23,2333,23_transparency_transparent_promote transparency_transparent transparent,"['transparency', 'transparent', 'promote transparency', 'transparent transparent', 'transparency promote', 'transparency promote transparency', 'transparency transparency', 'transparent transparent transparent', 'promote transparency promote transparency', 'promote transparency promote']","['Duty to promote transparency', 'Duty to promote transparency', 'Duty to promote transparency']"
24,2328,24_justice justice_justice justice justice_justice justice justice justice_justice justice justice justice justice,"['justice justice', 'justice justice justice', 'justice justice justice justice', 'justice justice justice justice justice', 'justice', '', '', '', '', '']","['Justice', 'Justice', 'Justice']"
25,1892,25_creativity_creativity creativity_creativity creativity creativity_creativity creativity creativity creativity,"['creativity', 'creativity creativity', 'creativity creativity creativity', 'creativity creativity creativity creativity', 'creativity creativity creativity creativity creativity', 'innovation', 'innovation innovation', 'promote innovation', 'innovation promote', 'innovation promote innovation']","['Creativity', 'Creativity', 'Creativity']"
26,1866,26_cohesion_social cohesion_social_cohesion social,"['cohesion', 'social cohesion', 'social', 'cohesion social', 'cohesion social cohesion', 'social cohesion social', 'social cohesion social cohesion', 'cohesion social cohesion social', 'cohesion social cohesion social cohesion', 'social cohesion social cohesion social']","['Social cohesion', 'Social cohesion', 'Social cohesion']"
27,1682,27_property_property property_property property property_property rights,"['property', 'property property', 'property property property', 'property rights', 'rights property', 'property rights property', 'rights', 'property property property property', 'property property property property property', 'respect property rights']","['Property rights', 'Property rights', 'Property rights']"
28,1088,28_intellectual property_intellectual_property_intellectual property respect,"['intellectual property', 'intellectual', 'property', 'intellectual property respect', 'respect intellectual property', 'respect intellectual', 'intellectual property respect intellectual', 'intellectual property respect intellectual property', 'property respect intellectual property', 'property respect intellectual']","['Duty to respect intellectual property', 'Duty to respect intellectual property', 'Duty to respect intellectual property']"
29,1054,29_report_report wrongdoing_report wrongdoing report_wrongdoing report,"['report', 'report wrongdoing', 'report wrongdoing report', 'wrongdoing report', 'wrongdoing', 'wrongdoing report wrongdoing', 'report wrongdoing report wrongdoing', 'report wrongdoing report wrongdoing report', 'wrongdoing report wrongdoing report', 'wrongdoing report wrongdoing report wrongdoing']","['Duty to report wrongdoing', 'Duty to report wrongdoing', 'Duty to report wrongdoing']"
30,968,30_environmental_environmental sustainability environmental_sustainability environmental_environmental sustainability,"['environmental', 'environmental sustainability environmental', 'sustainability environmental', 'environmental sustainability', 'sustainability', 'environmental sustainability environmental sustainability', 'sustainability environmental sustainability', 'sustainability environmental sustainability environmental', 'environmental sustainability environmental sustainability environmental', 'sustainability environmental sustainability environmental sustainability']","['Environmental sustainability', 'Environmental sustainability', 'Environmental sustainability']"
31,745,31_stability_financial stability_stability financial stability_stability financial,"['stability', 'financial stability', 'stability financial stability', 'stability financial', 'financial stability financial stability', 'financial stability financial', 'stability financial stability financial', 'stability financial stability financial stability', 'financial', 'financial stability financial stability financial']","['Financial stability', 'Financial stability', 'Financial stability']"
32,613,32_cultural preservation_preservation_cultural_preservation cultural preservation,"['cultural preservation', 'preservation', 'cultural', 'preservation cultural preservation', 'cultural preservation cultural', 'cultural preservation cultural preservation', 'heritage', 'cultural heritage', 'preservation cultural', 'treat clients']","['Right to cultural preservation', 'Cultural preservation', 'Cultural preservation']"
33,373,33_meritocracy_meritocracy meritocracy_meritocracy meritocracy meritocracy_meritocracy meritocracy meritocracy meritocracy,"['meritocracy', 'meritocracy meritocracy', 'meritocracy meritocracy meritocracy', 'meritocracy meritocracy meritocracy meritocracy', 'meritocracy meritocracy meritocracy meritocracy meritocracy', 'academys', 'edutrack', 'edutrack academys', 'edutrack academys reputation meritocracy', 'edutrack academys reputation']","['Meritocracy', 'Meritocracy', 'Meritocracy']"
34,366,34_preservation life_life preservation_life preservation life_preservation life preservation,"['preservation life', 'life preservation', 'life preservation life', 'preservation life preservation', 'preservation life preservation life', 'life preservation life preservation', 'life preservation life preservation life', 'preservation life preservation life preservation', 'preservation', 'life']","['Preservation of life', 'Preservation of life', 'Preservation of life']"
35,297,35_animal welfare_animal welfare animal welfare_welfare animal welfare_welfare animal,"['animal welfare', 'animal welfare animal welfare', 'welfare animal welfare', 'welfare animal', 'animal welfare animal', 'animal welfare animal welfare animal', 'welfare animal welfare animal', 'welfare animal welfare animal welfare', 'animal', 'welfare']","['Animal welfare', 'Animal welfare', 'Animal welfare']"
36,286,36_balance worklife balance_balance worklife_worklife balance worklife balance_worklife balance worklife,"['balance worklife balance', 'balance worklife', 'worklife balance worklife balance', 'worklife balance worklife', 'worklife balance worklife balance worklife', 'balance worklife balance worklife', 'balance worklife balance worklife balance', 'worklife', 'worklife balance', 'balance']","['Work-life balance', 'Work-life balance', 'Work-life balance']"
37,232,37_tradition_tradition tradition_tradition tradition tradition_tradition tradition tradition tradition,"['tradition', 'tradition tradition', 'tradition tradition tradition', 'tradition tradition tradition tradition', 'tradition tradition tradition tradition tradition', 'harmony harmony', 'harmony', 'harmony tradition', 'harmony harmony harmony', 'tradition harmony']","['Tradition', 'Tradition', 'Tradition']"
38,218,38_altruism_altruism altruism_altruism altruism altruism_altruism altruism altruism altruism,"['altruism', 'altruism altruism', 'altruism altruism altruism', 'altruism altruism altruism altruism', 'altruism altruism altruism altruism altruism', '', '', '', '', '']","['Altruism', 'Altruism', 'Altruism']"
